"Data","Último","Abertura","Máxima","Mínima","Var%"
"01.01.2018","112,66","112,67","112,69","112,64","-0,03%"
"29.12.2017","112,69","112,88","112,98","112,47","-0,18%"
"28.12.2017","112,89","113,36","113,36","112,67","-0,41%"
"27.12.2017","113,36","113,25","113,39","113,14","0,11%"
"26.12.2017","113,23","113,28","113,36","113,12","-0,04%"
"25.12.2017","113,28","113,33","113,38","113,22","0,01%"
"22.12.2017","113,27","113,32","113,45","113,25","-0,05%"
"21.12.2017","113,33","113,41","113,64","113,20","-0,05%"
"20.12.2017","113,39","112,89","113,47","112,84","0,44%"
"19.12.2017","112,89","112,54","113,08","112,51","0,30%"
"18.12.2017","112,55","112,64","112,85","112,32","-0,03%"
"15.12.2017","112,58","112,39","112,75","112,03","0,17%"
"14.12.2017","112,39","112,53","112,88","112,06","-0,14%"
"13.12.2017","112,55","113,56","113,58","112,47","-0,88%"
"12.12.2017","113,55","113,58","113,75","113,38","-0,01%"
"11.12.2017","113,56","113,48","113,69","113,24","0,07%"
"08.12.2017","113,48","113,08","113,58","113,06","0,35%"
"07.12.2017","113,08","112,28","113,16","112,20","0,69%"
"06.12.2017","112,30","112,59","112,67","112,00","-0,26%"
"05.12.2017","112,59","112,41","112,88","112,38","0,15%"
"04.12.2017","112,42","112,41","113,09","112,36","0,28%"
"01.12.2017","112,11","112,53","112,88","111,42","-0,37%"
"30.11.2017","112,53","111,92","112,64","111,72","0,54%"
"29.11.2017","111,93","111,48","112,15","111,37","0,40%"
"28.11.2017","111,48","111,09","111,64","110,94","0,35%"
"27.11.2017","111,09","111,41","111,69","110,83","-0,41%"
"24.11.2017","111,55","111,22","111,64","111,19","0,30%"
"23.11.2017","111,22","111,21","111,38","111,06","0,00%"
"22.11.2017","111,22","112,45","112,50","111,14","-1,09%"
"21.11.2017","112,44","112,62","112,72","112,17","-0,16%"
"20.11.2017","112,62","112,08","112,72","111,88","0,48%"
"17.11.2017","112,08","113,05","113,16","111,94","-0,87%"
"16.11.2017","113,06","112,88","113,34","112,73","0,16%"
"15.11.2017","112,88","113,47","113,50","112,47","-0,50%"
"14.11.2017","113,45","113,62","113,92","113,31","-0,15%"
"13.11.2017","113,62","113,52","113,72","113,25","0,08%"
"10.11.2017","113,53","113,47","113,64","113,20","0,05%"
"09.11.2017","113,47","113,86","114,08","113,09","-0,36%"
"08.11.2017","113,88","114,00","114,05","113,39","-0,12%"
"07.11.2017","114,02","113,70","114,34","113,69","0,28%"
"06.11.2017","113,70","114,00","114,74","113,70","-0,33%"
"03.11.2017","114,08","114,08","114,44","113,66","-0,01%"
"02.11.2017","114,09","114,17","114,22","113,53","-0,07%"
"01.11.2017","114,17","113,64","114,30","113,61","0,47%"
"31.10.2017","113,64","113,17","113,73","112,97","0,40%"
"30.10.2017","113,19","113,73","113,84","113,03","-0,44%"
"27.10.2017","113,69","113,98","114,45","113,64","-0,25%"
"26.10.2017","113,98","113,75","114,08","113,34","0,20%"
"25.10.2017","113,75","113,92","114,25","113,48","-0,13%"
"24.10.2017","113,90","113,43","114,01","113,25","0,41%"
"23.10.2017","113,44","113,69","114,11","113,25","-0,07%"
"20.10.2017","113,52","112,53","113,58","112,52","0,86%"
"19.10.2017","112,55","112,94","113,16","112,31","-0,35%"
"18.10.2017","112,94","112,20","113,06","112,14","0,66%"
"17.10.2017","112,20","112,19","112,48","112,03","0,01%"
"16.10.2017","112,19","111,85","112,29","111,65","0,30%"
"13.10.2017","111,86","112,28","112,33","111,69","-0,37%"
"12.10.2017","112,28","112,50","112,53","112,12","-0,20%"
"11.10.2017","112,50","112,45","112,59","112,08","0,04%"
"10.10.2017","112,45","112,67","112,83","112,00","-0,20%"
"09.10.2017","112,67","112,69","112,75","112,32","0,03%"
"06.10.2017","112,64","112,81","113,44","112,61","-0,16%"
"05.10.2017","112,82","112,75","112,92","112,41","0,06%"
"04.10.2017","112,75","112,86","112,94","112,33","-0,10%"
"03.10.2017","112,86","112,75","113,20","112,64","0,08%"
"02.10.2017","112,77","112,56","113,06","112,44","0,25%"
"29.09.2017","112,49","112,35","112,74","112,21","0,13%"
"28.09.2017","112,34","112,86","113,20","112,25","-0,43%"
"27.09.2017","112,83","112,25","113,27","112,21","0,53%"
"26.09.2017","112,23","111,73","112,48","111,50","0,45%"
"25.09.2017","111,73","111,98","112,53","111,47","-0,22%"
"22.09.2017","111,98","112,47","112,56","111,66","-0,44%"
"21.09.2017","112,47","112,21","112,72","112,13","0,22%"
"20.09.2017","112,22","111,58","112,53","111,11","0,56%"
"19.09.2017","111,59","111,56","111,89","111,19","0,02%"
"18.09.2017","111,57","110,88","111,67","110,88","0,66%"
"15.09.2017","110,84","110,22","111,33","109,55","0,55%"
"14.09.2017","110,23","110,48","111,03","110,08","-0,23%"
"13.09.2017","110,48","110,19","110,70","109,92","0,28%"
"12.09.2017","110,17","109,42","110,27","109,25","0,69%"
"11.09.2017","109,41","108,20","109,52","108,14","1,46%"
"08.09.2017","107,84","108,45","108,50","107,33","-0,56%"
"07.09.2017","108,45","109,23","109,28","108,06","-0,71%"
"06.09.2017","109,23","108,81","109,41","108,45","0,39%"
"05.09.2017","108,81","109,73","109,84","108,64","-0,85%"
"04.09.2017","109,74","109,40","109,94","109,31","-0,48%"
"01.09.2017","110,27","109,97","110,42","109,56","0,27%"
"31.08.2017","109,97","110,25","110,67","109,89","-0,24%"
"30.08.2017","110,23","109,75","110,44","109,53","0,44%"
"29.08.2017","109,75","109,27","109,91","108,27","0,46%"
"28.08.2017","109,25","109,26","109,42","109,03","-0,10%"
"25.08.2017","109,36","109,56","109,86","109,11","-0,18%"
"24.08.2017","109,56","109,06","109,61","108,83","0,49%"
"23.08.2017","109,03","109,56","109,83","108,92","-0,49%"
"22.08.2017","109,57","108,97","109,65","108,87","0,54%"
"21.08.2017","108,98","109,34","109,43","108,62","-0,19%"
"18.08.2017","109,19","109,58","109,61","108,61","-0,35%"
"17.08.2017","109,57","110,20","110,37","109,43","-0,56%"
"16.08.2017","110,19","110,67","110,95","110,02","-0,43%"
"15.08.2017","110,67","109,64","110,86","109,59","0,94%"
"14.08.2017","109,64","109,06","109,81","109,03","0,41%"
"11.08.2017","109,19","109,22","109,44","108,77","-0,03%"
"10.08.2017","109,22","110,08","110,19","109,14","-0,78%"
"09.08.2017","110,08","110,31","110,39","109,56","-0,21%"
"08.08.2017","110,31","110,73","110,83","110,23","-0,40%"
"07.08.2017","110,75","110,61","110,92","110,61","0,05%"
"04.08.2017","110,69","110,03","111,06","109,83","0,58%"
"03.08.2017","110,05","110,72","110,84","109,86","-0,61%"
"02.08.2017","110,73","110,36","111,00","110,28","0,34%"
"01.08.2017","110,36","110,25","110,59","109,92","0,10%"
"31.07.2017","110,25","110,64","110,78","110,19","-0,38%"
"28.07.2017","110,67","111,28","111,34","110,55","-0,52%"
"27.07.2017","111,25","111,18","111,73","110,78","0,07%"
"26.07.2017","111,17","111,89","112,20","111,06","-0,64%"
"25.07.2017","111,89","111,08","111,96","110,81","0,70%"
"24.07.2017","111,11","111,06","111,31","110,61","-0,01%"
"21.07.2017","111,12","111,92","112,09","111,00","-0,71%"
"20.07.2017","111,91","111,98","112,43","111,48","-0,05%"
"19.07.2017","111,97","112,08","112,25","111,56","-0,10%"
"18.07.2017","112,08","112,62","112,72","111,67","-0,50%"
"17.07.2017","112,64","112,50","112,88","112,31","0,10%"
"14.07.2017","112,53","113,29","113,60","112,27","-0,66%"
"13.07.2017","113,28","113,16","113,53","112,86","0,11%"
"12.07.2017","113,16","113,94","113,98","112,92","-0,68%"
"11.07.2017","113,94","114,05","114,51","113,72","-0,09%"
"10.07.2017","114,04","113,97","114,30","113,85","0,13%"
"07.07.2017","113,89","113,19","114,19","113,08","0,59%"
"06.07.2017","113,22","113,27","113,48","112,89","-0,04%"
"05.07.2017","113,27","113,28","113,69","112,81","-0,01%"
"04.07.2017","113,28","113,38","113,48","112,73","-0,10%"
"03.07.2017","113,39","112,14","113,48","111,94","0,90%"
"30.06.2017","112,38","112,19","112,62","111,74","0,18%"
